 LIST OF OBSOLETE COORDINATE ENTRIES AND SUCCESSORS
OBSLTE    03-Oct-23 1B2N     1G72
OBSLTE    03-Oct-23 1B3M     2GB0
OBSLTE    03-Oct-23 1B5C     1CYO
OBSLTE    03-Oct-23 1B6N     1Z1H
OBSLTE    03-Oct-23 1B6O     1Z1R
OBSLTE    03-Oct-23 1B7C     1C75
OBSLTE    03-Oct-23 1B8B     1H7A
OBSLTE    03-Oct-23 1B91     1N72
OBSLTE    03-Oct-23 1BAA     2BAA
OBSLTE    03-Oct-23 1BAQ     
OBSLTE    03-Oct-23 1BCL     4BCL
OBSLTE    03-Oct-23 1BDP     1XWL
OBSLTE    03-Oct-23 1BEF     
OBSLTE    03-Oct-23 1BER     1J59
OBSLTE    03-Oct-23 1BFL     1CNQ
OBSLTE    03-Oct-23 1BGH     1VQB
OBSLTE    03-Oct-23 1BGL     4V40
OBSLTE    03-Oct-23 1BGM     4V40
OBSLTE    03-Oct-23 1BGR     1B1X
OBSLTE    03-Oct-23 1BJ0     4V2F
OBSLTE    03-Oct-23 1BJL     3BJL
OBSLTE    03-Oct-23 1BJY     4V2G
OBSLTE    03-Oct-23 1BKQ     1F3C
OBSLTE    03-Oct-23 1BL2     1QRK
OBSLTE    03-Oct-23 1BLM     3BLM
OBSLTE    03-Oct-23 1BLW     1CN4
OBSLTE    03-Oct-23 1BME     1BVT
OBSLTE    03-Oct-23 1BMI     2BMI
OBSLTE    03-Oct-23 1BMY     1IG6
OBSLTE    03-Oct-23 1BN2     2BN2
OBSLTE    03-Oct-23 1BNH     2BNH
OBSLTE    03-Oct-23 1BOV     2XSC
OBSLTE    03-Oct-23 1BQV     2JV3
OBSLTE    03-Oct-23 1BR7     2E2C
OBSLTE    03-Oct-23 1BUK     2DIK
OBSLTE    03-Oct-23 1BUR     1IR1
OBSLTE    03-Oct-23 1BV0     1B27
OBSLTE    03-Oct-23 1BV5     1LT0
OBSLTE    03-Oct-23 1BV6     1DRM
OBSLTE    03-Oct-23 1BVS     7OA5
OBSLTE    03-Oct-23 1BXJ     2V1V
OBSLTE    03-Oct-23 1BYK     4XXH
OBSLTE    03-Oct-23 1BYT     1NO3
OBSLTE    03-Oct-23 1C00     1C7I
OBSLTE    03-Oct-23 1C0D     1VRX
OBSLTE    03-Oct-23 1C0H     1C40
OBSLTE    03-Oct-23 1C13     1IAV
OBSLTE    03-Oct-23 1C2C     2C2C
OBSLTE    03-Oct-23 1C4J     1EXY
OBSLTE    03-Oct-23 1C59     1DV4
OBSLTE    03-Oct-23 1C9R     1J5O
OBSLTE    03-Oct-23 1CAB     2CAB
OBSLTE    03-Oct-23 1CAC     1CA2
OBSLTE    03-Oct-23 1CAE     1M85
OBSLTE    03-Oct-23 1CAF     2CAH
OBSLTE    03-Oct-23 1CAT     7CAT 8CAT
OBSLTE    03-Oct-23 1CBP     2CBP
OBSLTE    03-Oct-23 1CBZ     1EYY
OBSLTE    03-Oct-23 1CCO     2CCO
OBSLTE    03-Oct-23 1CCY     2CCY
OBSLTE    03-Oct-23 1CD4     1CDH
OBSLTE    03-Oct-23 1CDV     2CDV
OBSLTE    03-Oct-23 1CF6     1HUO
OBSLTE    03-Oct-23 1CFO     1NEW
OBSLTE    03-Oct-23 1CH6     6DHM
OBSLTE    03-Oct-23 1CHB     2CHB
OBSLTE    03-Oct-23 1CHR     
OBSLTE    03-Oct-23 1CI2     2CI2
OBSLTE    03-Oct-23 1CJN     2CJN
OBSLTE    03-Oct-23 1CJO     2CJO
OBSLTE    03-Oct-23 1CK5     1T0K
OBSLTE    03-Oct-23 1CK8     1T0K
OBSLTE    03-Oct-23 1CK9     1CN7
OBSLTE    03-Oct-23 1CLN     3CLN
OBSLTE    03-Oct-23 1CMW     
OBSLTE    03-Oct-23 1CN8     1T0K
OBSLTE    03-Oct-23 1CN9     1T0K
OBSLTE    03-Oct-23 1CND     2CND
OBSLTE    03-Oct-23 1CO3     1EZ0
OBSLTE    03-Oct-23 1COQ     
OBSLTE    03-Oct-23 1COX     3COX
OBSLTE    03-Oct-23 1CPA     3CPA
OBSLTE    03-Oct-23 1CPK     2CPK
OBSLTE    03-Oct-23 1CPP     2CPP
OBSLTE    03-Oct-23 1CPV     5CPV
OBSLTE    03-Oct-23 1CQB     1EKH
OBSLTE    03-Oct-23 1CRO     5CRO
OBSLTE    03-Oct-23 1CT3     4CAA
OBSLTE    03-Oct-23 1CT7     1E8R
OBSLTE    03-Oct-23 1CTH     2CTH
OBSLTE    03-Oct-23 1CUM     1BKJ
OBSLTE    03-Oct-23 1CX0     4PR6
OBSLTE    03-Oct-23 1CXG     2CXG
OBSLTE    03-Oct-23 1CXS     1EU1
OBSLTE    03-Oct-23 1CXT     1EU1
OBSLTE    03-Oct-23 1CY3     2CY3
OBSLTE    03-Oct-23 1CYH     2CYH
OBSLTE    03-Oct-23 1CYP     2CYP
OBSLTE    03-Oct-23 1CYT     3CYT
OBSLTE    03-Oct-23 1D4G     1K0U
OBSLTE    03-Oct-23 1D4Q     1C8P
OBSLTE    03-Oct-23 1D55     2D55
OBSLTE    03-Oct-23 1D5K     1GH8
OBSLTE    03-Oct-23 1D8R     1VJ3
OBSLTE    03-Oct-23 1D9B     1HN9
OBSLTE    03-Oct-23 1D9T     1NE7
OBSLTE    03-Oct-23 1DB0     1H1V
OBSLTE    03-Oct-23 1DB7     1O3Q
OBSLTE    03-Oct-23 1DB8     1O3R
OBSLTE    03-Oct-23 1DB9     1O3S
OBSLTE    03-Oct-23 1DBC     1O3T
OBSLTE    03-Oct-23 1DDC     1H21
OBSLTE    03-Oct-23 1DDQ     1HQM
OBSLTE    03-Oct-23 1DER     1KP8
OBSLTE    03-Oct-23 1DF9     
OBSLTE    03-Oct-23 1DFR     3DFR
OBSLTE    03-Oct-23 1DGA     1NM1
OBSLTE    03-Oct-23 1DGT     1V9P
OBSLTE    03-Oct-23 1DGY     1LII
OBSLTE    03-Oct-23 1DH0     1LIK
OBSLTE    03-Oct-23 1DH1     1LIJ
OBSLTE    03-Oct-23 1DH2     1LIO
